username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Murray Franklyn,56738964,"Bellevue, WA",2023-01-23 22:39:51,"Why limit yourself to one when you can have two? Come see our two furnished model homes at Cascade Pointe, our luxu… https://t.co/QXvr3m8PMB",0,Twitter Web App,
MSN,15856435,"Redmond, WA, USA",2023-01-23 22:25:13,Aggressive Turkey that Showed Up in Minn. Community on Thanksgiving 2021 Has 'Taken Over' Area https://t.co/MLQLkqLav6,1,OxfordBlue-Twitter,
Daniel the Firm Man,1650741546,"Kirkland, WA",2023-01-23 22:17:00,"A reminder to YouTube content creators who are suffering because of the MFK flagging system, copyright claims, comm… https://t.co/q8HFpIOij1",0,Twitter for Android,
Randy Treibel (Taylor’s Version),14611522,Kirkland,2023-01-23 21:47:36,"The whole VC/Angel/Founder/Hustle culture loves to try to replace money with a lack of community connection.

This… https://t.co/7nQGavZD3L",0,Twitter Web App,
Justin Lambchop,1486017514358272002,"Bellevue, WA",2023-01-23 21:23:25,Such courage he showed to become a true hero of the community. Something I wouldn't be able to do. https://t.co/SwR3wXig5h,2,Twitter Web App,
Everything Microsoft,20439140,C:\Redmond,2023-01-23 21:07:02,Marketplace Community: A new hub for maximizing the marketplace opportunity https://t.co/Njm7BQLhNh,0,dlvr.it,
JTPNZ | Juthapat Lim,1304382554686935042,"Redmond, WA",2023-01-23 20:38:19,"Somehow, this tweet blew up🤯
Thank you guys for all the love! 

I'm not working on any projects related to @CSGO ri… https://t.co/7XnQKJo93a",3,Twitter Web App,
Microsoft 365 Insider,4444936638,"Redmond, WA",2023-01-23 20:30:05,Get support and leave feedback on our Community Support Page: https://t.co/dPeu6V2u0R,0,Sprinklr Publishing,
Microsoft 365 Insider,4444936638,"Redmond, WA",2023-01-23 20:30:03,"Interact with the Microsoft 365 Insider community over on Tech Community: https://t.co/TB1muftAIw

🔹If you were sub… https://t.co/eq2TaRX7H3",0,Sprinklr Publishing,
Chosen One 🇺🇦+🇺🇸,17127559,"Redmond, WA",2023-01-23 20:12:16,@laurenboebert Anyone who takes advice about their medical care from a GED call girl instead of the consensus view… https://t.co/1ZIIei4FB2,2,Twitter for iPhone,
WRITERRAND. ♿️ 🎬 🏳️‍🌈 🇺🇸 ✝️,32790491,"Redmond, WA",2023-01-23 19:23:52,I will vote for any reliable Democrat who deals with the serious problems facing the growing disability community.… https://t.co/pvLaw9kGcT,0,Twitter for iPad,
John Case,1491072882562277378,"Kirkland, Washington",2023-01-23 19:06:37,Building and strengthening our community is core to why we gather each year at Summit. I look forward to seeing eve… https://t.co/LuWEiDcMXa,3,Twitter Web App,
"Sequoia Scientific, Inc.",385055055,"Bellevue, WA",2023-01-23 19:00:13,"Join us for the Seattle Ocean Science Community Happy Hour, sponsored by Sequoia Scientific, Inc. Thursday, January… https://t.co/9LtOIhp35R",0,Sendible,
Conner Homes,221092049,"Bellevue, WA",2023-01-23 18:30:04,We turn homeownership dreams into reality. Find a Conner Homes community near you: https://t.co/fTgrSXWKDA https://t.co/iae6mYn0DF,0,HubSpot,
Microsoft US Partner,21451819,"Redmond, WA",2023-01-23 18:00:00,"Check out this month's comprehensive schedule of Microsoft US Partner training, webcasts, community calls, and offi… https://t.co/yVjnx4ZkDT",3,Sprinklr Publishing,
RedmondWaPD,1959389232,"Redmond, Washington",2023-01-23 17:58:48,Join @RedmondWaPD for a FREE Career Diversity in Law Enforcement workshop on Feb 4 with @KirklandWAPD and @BvuePD.… https://t.co/pyXnakixk0,1,Twitter Web App,
Steve Lee,3234616374,"Redmond, WA",2023-01-23 17:48:46,The Jan 19th #PowerShell Community Call video has been posted.  You can find a link here: https://t.co/KJgk7OdKfP,3,Twitter Web App,
Cedric,18699962,"Bellevue, WA",2023-01-23 17:40:26,"The irony, I have a new community team member starting on Community Manager Appreciation Day today!

What a time to… https://t.co/hvSv36HsFP",8,Twitter Web App,
SAP Concur,19034328,"Bellevue, Washington",2023-01-23 17:32:13,"@designxa ""Hi there - Search results may vary based on each company's unique policies and configurations. We don't… https://t.co/h8lqDJPKCr",0,Sprinklr,
Francis Yan,986652796685398016,"Redmond, WA",2023-01-23 16:30:09,"JSys features an open reviewing process, which provides a perfect complement to the other venues in our community a… https://t.co/53qkw8ZBmu",5,Twitter for iPhone,
On Ryan Blue Tomorrows,27728165,"Redmond, WA",2023-01-23 16:27:13,"Thinking about Forspoken, when you have a protagonist of color or from a specific community, is it more important t… https://t.co/1rEMqiT4a7",0,Twitter Web App,
Microsoft Imagine Cup,41012588,"Redmond, WA",2023-01-23 16:00:01,Interested in amplifying your impact as a student and sharing your love for #Tech with a like-minded community? Sou… https://t.co/8O3kmvWgge,1,Twitter for Advertisers,
Tabetha,373478615,"Bellevue, WA",2023-01-23 15:43:35,Learn to prepare and share resources to support ArcGIS Indoors Space Planner - a web app that brings intelligent sp… https://t.co/HMi99OgRbY,0,Hootsuite Inc.,
Azure Solutions,88339593,"Redmond, WA",2023-01-23 15:00:00,"🌟 Today's @MicrosoftLearn Contributor Spotlight: Kate Baroni is a Principal Customer Engineer at @Microsoft. 

👉… https://t.co/ZvtiMooMwL",2,Sprinklr Publishing,
Fat City Properties,319939740,Bellevue Washington,2023-01-23 04:59:06,"@BullsApesProj The @Trippies Team, community, art &amp; island games rock. 🤘🤘🤘

It's $methematically proven. 🤓

#nft… https://t.co/JF2Ty7gsSv",0,Twitter Web App,
MSN,15856435,"Redmond, WA, USA",2023-01-23 00:51:55,Asian community reeling after Lunar New Year shooting https://t.co/jM9i6Q14yt,0,OxfordBlue-Twitter,
Shay Thomason,5505,"Bellevue, WA",2023-01-22 23:44:24,Heartbroken to hear about this. Jon is the brother of a very close friend and he helped pack our container when we… https://t.co/Ec49jDyDf3,0,Twitter Web App,
C H A R I S M A,1576096270183456768,"Redmond, WA",2023-01-22 22:06:16,@MadScientistFF First I can remember is Selena’s death.  My mom was so so sad about it and I remember watching the… https://t.co/FYmdk8UT8m,0,Twitter for iPhone,
Ava Rogers - Author,28200819,"Redmond, WA",2023-01-22 21:24:59,"Alright #ttrpg community, I'm starting up a podcast of advice/tips/conversations for and about GMing, for both new… https://t.co/y1RCIzXCza",3,Twitter for Android,
Gabriel Bercea,15590925,"Redmond, WA",2023-01-22 19:31:08,"@TalbertSwan Community notes?
@CommunityNotes",0,Twitter for Android,
SeanNyberg,15824811,"Bellevue, WA",2023-01-22 17:55:07,"Today is Splash Mountain’s final day operating.
The ride will get a long overdue and highly anticipated retheme to… https://t.co/x1AHIpOQOD",2,Twitter for iPhone,
"Jeralee Anderson, PhD, PE",846225120616038400,"Redmond, WA",2023-01-22 16:20:25,Hmmm....🤔 This throws a wrench in the desired #transit transition. https://t.co/Abi1idlPYn,0,Twitter for Android,
jeremy.eth,14085508,"Washington, Kirkland",2023-01-22 03:21:16,Whoa - the @ExpansionPunks DAO just acquired Cryptopunk #2321 for their community - and @ZunkzNFTs have a pixel twi… https://t.co/Sfg13T01v1,1,Twitter Web App,
The Sophia Way,160682916,"Bellevue, WA",2023-01-22 02:27:21,A community giving together can have a major impact! Thank you to Eathappynow for helping to keep our community fed… https://t.co/TisGgwiToE,0,Hootsuite Inc.,
Cheebus,16388363,"Redmond, WA",2023-01-22 02:11:55,@nscottg That is good but I envision a proper thrd place which is more community than the limited participation of private residences.,0,Twitter Web App,
Cheebus,16388363,"Redmond, WA",2023-01-22 02:03:34,I am deslarately in need of a third place and I think most people I know are as well. But we all need something dif… https://t.co/upfIQ6W5uq,0,Twitter Web App,
SplashForward,942644798732713984,"Bellevue, WA",2023-01-22 00:05:45,It was a FULL house at Thursday's community meeting! 2 concepts for Bellevue Airfield Park's master plan were share… https://t.co/gILKsyPnHw,1,Twitter Web App,
